cover_url,category,category_id,title,price,provider,author,publisher,published_year,size,pages,cover_type,summary
https://cdn1.fahasa.com/media/catalog/product/1/4/1451b.jpg,Báo - Tạp Chí,20,Hoa Học Trò,19000,BÁO TIỀN PHONG,Nhiều Tác Giả,Báo Sinh Viên VN - Hoa Học Trò,2025,20.5 x 15 x 0.2 cm,50,Bìa Mềm,"Hoa Học Trò, khoa học, công nghệ số, kỹ thuật, AI, ngành học tiềm năng, vision board, Creative Writing, Oxford, IELTS, SOOBIN, V-Biz, nghệ thuật, phát triển bản thân, Artificial Intelligence, kỷ nguyên AI, Zhoufam, Duy Khánh, Anh T trai Vượt Nغان Cồng Gai (ATVNCG)."
https://cdn1.fahasa.com/media/wysiwyg/HONG_KD/FRAME_NCC_2024/FrameNCC_T05_1080x1080.png,Tâm lý - Kỹ năng sống,5,Tư Duy Ngược,69500,CÔNG TY CỔ PHẦN SBOOKS,Nguyễn Anh Dũng,Dân Trí,2021,20 x 13 x 1.5 cm,242,Bìa Mềm,"Tư Duy Ngược, hạnh phúc, sống cuộc đời mình, bản sắc riêng, vượt qua khuôn mẫu, định kiến, sáng tạo, thành công, phương pháp, dũng cảm."
https://cdn1.fahasa.com/media/catalog/product/8/9/8935278605546.jpg,Tâm lý - Kỹ năng sống,5,30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,103950,Saigon Books,Lý Thượng Long,Dân Trí,2023,20.5 x 14 x 1.7 cm,332,Bìa Mềm,"30 tuổi, tuổi đôi mươi, trưởng thành, tiến bộ, kiên trì, tự truyện, thanh xuân, con đường mình đã chọn, đường tắt, yêu thích, cực khổ, cơ hội, trau dồi bản thân, vững mạnh."
https://cdn1.fahasa.com/media/catalog/product/8/9/8935278607144.jpg,Khoa học kỹ thuật,9,Giải Mã Hoóc-Môn Dopamine,152460,Saigon Books,Anna Lembke,Thế Giới,2023,20.5 x 14 x 1.7 cm,348,Bìa Mềm,"Dopamine, hormone hạnh phúc, cảm xúc, học tập, tập trung, quyết định, bệnh Parkinson, nghiện, rối loạn cảm xúc, mất ngủ, lạc thú, nỗi đau, cân bằng, khoa học thần kinh, kinh nghiệm sống, phục hồi, khen thưởng, trạng thái cân bằng."
https://cdn1.fahasa.com/media/wysiwyg/HONG_KD/FRAME_NCC_2024/FrameNCC_T05_1080x1080.png,Tâm lý - Kỹ năng sống,5,Tư Duy Mở,69000,CÔNG TY CỔ PHẦN SBOOKS,Nguyễn Anh Dũng,Dân Trí,2023,20.5 x 13 x 1 cm,208,Bìa Mềm,"Tư duy mở, công nghệ, linh hoạt, toàn cầu, kiến thức mới, định kiến, phát triển, thử thách, học hỏi, thất bại, bản thân, sự nghiệp, cuộc sống, tự tin, ước mơ, chướng ngại, hạnh phúc."
https://cdn1.fahasa.com/media/catalog/product/8/9/8934974182375.jpg,Văn học,3,Người Đàn Ông Mang Tên OVE (Tái Bản),134400,NXB Trẻ,Fredrik Backman,Trẻ,2022,20 x 13 cm,452,Bìa Mềm,"Người Đàn Ông Mang Tên Ove, Fredrik Backman, Hoàng Anh, Tom Hanks, Oscar 2017, Bắc Âu, New York Times, Fahasa, tình người, nhân văn, hài hước, cảm động, cô đơn, lạc lõng, chữa lành, truyền cảm hứng."
https://cdn1.fahasa.com/media/catalog/product/4/6/462575288-8809922029059253-2153568844597944546-n-452.jpg,Báo - Tạp Chí,20,"Hoa Học Trò - Số 1444 - Chào Tháng 11, Gà Bông Ơi Chúng Mình Cùng Đi Du Học Nhé!",19000,BÁO TIỀN PHONG,Nhiều Tác Giả,Báo Sinh Viên VN - Hoa Học Trò,2024,20.5 x 15 x 0.2 cm,50,Bìa Mềm,"Hoa Học Trò, Số 1444, Chào Tháng 11, Gà Bông Ơi, Du Học, Sách Giáo Khoa Mới, Anh Trai Vượt Ngàn Chông Gai, Bom Tấn Truyền Hình, Văn Hóa, Dân Tộc, Đại Học Amsterdam, UvA, Hà Lan, Ngô Thanh Lâm, Nguyễn Đào Nhã Uyên, Fandom, V-ARMY, BTS, Giờ Ra Chơi Không Điện Thoại, Kết Nối, Trò Chuyện, Mạng Xã Hội."
https://cdn1.fahasa.com/media/catalog/product/_/2/_2024_-thay_doi_ti_hon_hieu_qua_bat_ngo-tb8-02.jpg,Tâm lý - Kỹ năng sống,5,Atomic Habits - Thay Đổi Tí Hon Hiệu Quả Bất Ngờ (Tái Bản 2023),154980,Cty Bán Lẻ Phương Nam,James Clear,Thế Giới,2023,20.5 x 14.5 x 1.8 cm,385,Bìa Mềm,"Atomic Habits, Thay Đổi Tí Hon, Wall Street Journal Bestseller, USA Today Bestseller, Publisher’s Weekly Bestseller, Top 20 tựa sách non-fiction, Amazon, James Clear, The Habits Academy, thói quen nguyên tử, cải tiến liên tục, New York Times, Entrepreneur, Time, Fortune 500."
https://cdn1.fahasa.com/media/catalog/product/9/7/9786044009674.jpg,Tâm lý - Kỹ năng sống,5,Con Đường Chẳng Mấy Ai Đi - The Road Less Traveled,115500,CÔNG TY CỔ PHẦN VĂN HOÁ & CÔNG NGHỆ TUỆ TRI,M. Scott Peck,Dân Trí,2024,21 x 14.5 x 1.7 cm,344,Bìa Mềm,"Con Đường Chẳng Mấy Ai Đi, tác động sâu sắc, đời sống trí tuệ, tinh thần, doanh số, bản in, ngôn ngữ, Best-sellers, New York Times, cách hành văn kinh điển, thông điệp, bản chất, mối quan hệ, tinh thần trưởng thành, lệ thuộc, tình yêu, bậc phụ huynh, sống chân thật, ""Cuộc đời này rất khó sống"", hành trình phát triển tinh thần, thấu hiểu bản thân."
https://cdn1.fahasa.com/media/catalog/product/z/6/z6541137470678_d3d249c11a8d32190106354c117c03e1.jpg,Thiếu nhi,1,"Búp Sen Xanh, Bông Sen Vàng",110000,Nhà Xuất Bản Kim Đồng,Sơn Tùng,Kim Đồng,2025,19 x 13 x 2.4 cm,444,Bìa Cứng,"Bác Hồ, Sơn Tùng, Búp Sen Xanh, tiểu thuyết, lịch sử, cách mạng, nhân văn, độc lập, tự do, dân tộc Việt Nam, kháng chiến, anh hùng, lao động, văn học, nghệ thuật."
